CAS #,Formatted CAS #,Substance Name,Acidification Air (kg SO2 eq / kg substance),"Ecotox. CF [CTUeco/kg], Em.airU, freshwater","Ecotox. CF [CTUeco/kg], Em.airC, freshwater","Ecotox. CF [CTUeco/kg], Em.fr.waterC, freshwater","Ecotox. CF [CTUeco/kg], Em.sea waterC, freshwater","Ecotox. CF [CTUeco/kg], Em.nat.soilC, freshwater","Ecotox. CF [CTUeco/kg], Em.agr.soilC, freshwater",CF Flag Ecotox,Global Climate Air (kg CO2 eq / kg substance),"Human health CF  [CTUcancer/kg], Emission to urban air, cancer","Human health CF  [CTUnoncancer/kg], Emission to urban air, non-canc.","Human health CF  [CTUcancer/kg], Emission to cont. rural air, cancer","Human health CF  [CTUnoncancer/kg], Emission to cont. rural air, non-canc.","Human health CF  [CTUcancer/kg], Emission to cont. freshwater, cancer","Human health CF  [CTUnoncancer/kg], Emission to cont. freshwater, non-canc.","Human health CF  [CTUcancer/kg], Emission to cont. sea water, cancer","Human health CF  [CTUnoncancer/kg], Emission to cont. sea water, non-canc.","Human health CF  [CTUcancer/kg], Emission to cont. natural soil, cancer","Human health CF  [CTUnoncancer/kg], Emission to cont. natural soil, non-canc.","Human health CF  [CTUcancer/kg], Emission to cont. agric. Soil, cancer","Human health CF  [CTUnoncancer/kg], Emission to cont. agric. Soil, non-canc.",CF Flag HH carcinogenic,CF Flag HH non-carcinogenic,HH Particulate Air (PM2.5 eq / kg substance),Ozone Depletion Air (kg CFC-11 eq / kg substance),Photochemical Oxidation Formation Air (kg O3 eq / kg substance),
117806,117-80-6,DICHLONE,n/a,2.14E+04,1.57E+04,3.99E+05,2.16E+00,6.23E+03,6.23E+03,Recommended,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
117817,117-81-7,DI-(2-ETHYLHEXYL)-PHTHALATE (DEHP),n/a,8.30E+00,3.97E+00,3.22E+02,3.56E-04,4.14E-02,4.14E-02,Recommended,n/a,1.45E-07,2.02E-06,8.34E-08,1.16E-06,8.76E-08,1.22E-06,3.54E-09,4.93E-08,1.93E-11,2.69E-10,2.57E-09,3.58E-08,Recommended,Recommended,n/a,n/a,n/a,
117840,117-84-0,DI(N-OCTYL) PHTHALATE,n/a,5.91E-01,2.43E-01,3.02E+01,2.02E-04,1.18E-02,1.18E-02,Recommended,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
118445,118-44-5,"1-NAPHTHALENAMINE, N-ETHYL-",n/a,2.88E+02,3.95E+01,4.51E+04,1.73E-01,1.68E+02,1.68E+02,Interim,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
118489,118-48-9,"2H-3,1-BENZOXAZINE-2,4(1H)-DIONE",n/a,1.07E+01,8.13E+00,4.27E+02,5.22E-03,8.79E+01,8.79E+01,Recommended,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
118558,118-55-8,PHENYL 2-HYDROXYBENZOATE,n/a,3.39E+02,1.40E+02,1.54E+04,1.78E-03,6.75E+01,6.75E+01,Interim,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
118616,118-61-6,ETHYL 2-HYDROXYBENZOATE,n/a,4.04E+00,3.93E+00,5.02E+02,1.06E-01,1.87E+01,1.87E+01,Interim,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
118741,118-74-1,HEXACHLOROBENZENE,n/a,6.27E+02,6.22E+02,1.03E+05,2.55E+02,1.26E+03,1.26E+03,Recommended,n/a,7.53E-05,2.58E-05,6.81E-05,2.33E-05,8.14E-04,2.79E-04,2.44E-04,8.36E-05,3.82E-05,1.31E-05,5.12E-05,1.75E-05,Recommended,Recommended,n/a,n/a,n/a,
118752,118-75-2,CHLORANIL,n/a,3.25E+03,2.86E+03,3.27E+04,4.15E-02,2.76E+03,2.76E+03,Interim,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
118796,118-79-6,"2,4,6-TRIBROMOPHENOL",n/a,3.10E+03,2.84E+03,5.44E+04,2.27E+01,2.06E+03,2.06E+03,Interim,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
118956,118-95-6,"2-(1-METHYLETHYL)-4,6-DINITROPHENOL",n/a,2.39E+03,1.65E+03,5.14E+04,3.80E-02,4.51E+02,4.51E+02,Interim,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
118967,118-96-7,"2,4,6-TRINITROTOLUENE",n/a,5.12E+02,3.73E+02,9.40E+03,3.89E-02,1.06E+02,1.06E+02,Recommended,n/a,7.83E-07,5.46E-05,5.50E-07,3.83E-05,1.20E-06,8.35E-05,2.62E-09,1.83E-07,1.39E-08,9.70E-07,2.23E-08,1.55E-06,Recommended,Recommended,n/a,n/a,n/a,
119120,119-12-0,PYRIDAPHENTHION,n/a,3.55E+02,9.53E+01,1.94E+04,1.37E-05,1.52E+02,1.52E+02,Interim,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
119324,119-32-4,3-NITRO-4-TOLUIDINE,n/a,8.06E+01,6.26E+01,1.96E+03,7.99E-02,1.65E+02,1.65E+02,Interim,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
