State,Facility Name,Facility ID,Unit ID,Associated Stacks,Year,Operating Time Count,Sum of the Operating Time,Gross Load (MWh),Steam Load (1000 lb),SO2 Mass (short tons),SO2 Rate (lbs/mmBtu),CO2 Mass (short tons),CO2 Rate (short tons/mmBtu),NOx Mass (short tons),NOx Rate (lbs/mmBtu),Heat Input (mmBtu),Primary Fuel Type,Secondary Fuel Type,Unit Type,SO2 Controls,NOx Controls,PM Controls,Hg Controls,Program Code
KY,Trimble County,6071,10,,2025,609,585.88,67521.27,,0.234,0.001,46305.025,0.059,12.688,0.0353,779162.049,Pipeline Natural Gas,,Combustion turbine,,Dry Low NOx Burners,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Trimble County,6071,10,,2026,635,612.0,79811.51,,0.268,0.001,52993.593,0.059,15.965,0.0388,891720.088,Pipeline Natural Gas,,Combustion turbine,,Dry Low NOx Burners,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Trimble County,6071,2,"MS-2A, MS-2B",2024,6731,6716.2,4324896.21,,1206.165,0.0832,3854095.999,0.105,788.876,0.0457,36747606.146,Coal,,Dry bottom wall-fired boiler,Wet Limestone,Selective Catalytic Reduction,Baghouse|Electrostatic Precipitator|Wet ESP|Wet Scrubber,Additives to Enhance PAC and Existing Equipment Performance|Untreated PAC Sorbent Injection,"ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
KY,Trimble County,6071,2,"MS-2A, MS-2B",2025,7064,7052.96,4808516.33,,1494.03,0.0738,4250979.56,0.105,777.4,0.0404,40531842.766,Coal,,Dry bottom wall-fired boiler,Wet Limestone,Selective Catalytic Reduction,Baghouse|Electrostatic Precipitator|Wet ESP|Wet Scrubber,Additives to Enhance PAC and Existing Equipment Performance|Untreated PAC Sorbent Injection,"ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
KY,Trimble County,6071,2,"MS-2A, MS-2B",2026,3645,3640.83,2525368.88,,608.006,0.0585,2219138.37,0.105,426.406,0.0431,21158817.406,Coal,,Dry bottom wall-fired boiler,Wet Limestone,Selective Catalytic Reduction,Baghouse|Electrostatic Precipitator|Wet ESP|Wet Scrubber,Additives to Enhance PAC and Existing Equipment Performance|Untreated PAC Sorbent Injection,"ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
KY,Trimble County,6071,5,,2024,1256,1206.87,182708.99,,0.59,0.001,116896.687,0.059,37.41,0.0419,1967013.929,Pipeline Natural Gas,,Combustion turbine,,Dry Low NOx Burners,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Trimble County,6071,5,,2025,1969,1896.95,212852.34,,0.762,0.001,151008.727,0.059,42.099,0.0363,2541026.928,Pipeline Natural Gas,,Combustion turbine,,Dry Low NOx Burners,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Trimble County,6071,5,,2026,1691,1644.26,234548.85,,0.775,0.001,153598.459,0.059,49.349,0.0407,2584592.198,Pipeline Natural Gas,,Combustion turbine,,Dry Low NOx Burners,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Trimble County,6071,6,,2024,1323,1239.44,185841.25,,0.607,0.001,120137.254,0.059,36.976,0.0413,2021533.023,Pipeline Natural Gas,,Combustion turbine,,Dry Low NOx Burners,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Trimble County,6071,6,,2025,1055,985.21,117169.76,,0.413,0.001,81868.819,0.059,22.562,0.0373,1377598.382,Pipeline Natural Gas,,Combustion turbine,,Dry Low NOx Burners,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Trimble County,6071,6,,2026,674,643.34,90964.97,,0.304,0.001,60293.388,0.059,19.276,0.0416,1014563.877,Pipeline Natural Gas,,Combustion turbine,,Dry Low NOx Burners,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Trimble County,6071,7,,2024,3579,3531.9,531391.75,,1.696,0.001,336033.07,0.059,95.03,0.0361,5654402.812,Pipeline Natural Gas,,Combustion turbine,,Dry Low NOx Burners,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Trimble County,6071,7,,2025,2898,2835.57,309055.87,,1.103,0.001,218424.929,0.059,59.516,0.0361,3675402.83,Pipeline Natural Gas,,Combustion turbine,,Dry Low NOx Burners,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Trimble County,6071,7,,2026,1770,1733.66,241082.56,,0.795,0.001,157568.219,0.059,46.847,0.0398,2651379.476,Pipeline Natural Gas,,Combustion turbine,,Dry Low NOx Burners,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Trimble County,6071,8,,2024,615,566.79,77513.37,,0.259,0.001,51290.834,0.059,16.289,0.0452,863070.201,Pipeline Natural Gas,,Combustion turbine,,Dry Low NOx Burners,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Trimble County,6071,8,,2025,640,592.26,69779.23,,0.245,0.001,48585.632,0.059,14.852,0.0431,817529.926,Pipeline Natural Gas,,Combustion turbine,,Dry Low NOx Burners,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Trimble County,6071,8,,2026,997,951.92,133500.11,,0.44,0.001,87179.607,0.059,25.565,0.038,1466957.468,Pipeline Natural Gas,,Combustion turbine,,Dry Low NOx Burners,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Trimble County,6071,9,,2024,2859,2797.39,423167.99,,1.352,0.001,267849.191,0.059,80.144,0.0374,4507064.827,Pipeline Natural Gas,,Combustion turbine,,Dry Low NOx Burners,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Trimble County,6071,9,,2025,2599,2506.89,273796.85,,0.98,0.001,194165.448,0.059,54.167,0.0361,3267216.31,Pipeline Natural Gas,,Combustion turbine,,Dry Low NOx Burners,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Trimble County,6071,9,,2026,1611,1581.04,209036.51,,0.7,0.001,138621.66,0.059,40.993,0.0366,2332584.553,Pipeline Natural Gas,,Combustion turbine,,Dry Low NOx Burners,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,R D Green,6639,G1,,2024,3619,3579.88,450835.03,,1.426,0.001,282426.655,0.059,196.716,0.0761,4752329.862,Pipeline Natural Gas,,Dry bottom wall-fired boiler,,,,,"ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
